J,SIGMA/J,ALPHA(2),ALPHA(4)
19,0.4,5.78989e-01,2.05658e-01
19,0.5,4.35282e-01,1.05997e-01
19,0.6,3.29171e-01,5.74599e-02
19,0.7,2.53978e-01,3.31209e-02
19,0.8,2.00442e-01,2.02090e-02
19,0.9,1.61572e-01,1.29507e-02
19,1.0,1.32699e-01,8.65107e-03
19,1.1,1.10769e-01,5.98546e-03
19,1.2,9.37712e-02,4.26673e-03
19,1.3,8.03556e-02,3.12041e-03
19,1.4,6.95953e-02,2.33316e-03
19,1.5,6.08409e-02,1.77851e-03
19,1.6,5.36275e-02,1.37890e-03
19,1.7,4.76165e-02,1.08523e-03
19,1.8,4.25564e-02,8.65591e-04
19,1.9,3.82580e-02,6.98716e-04
19,2.0,3.45764e-02,5.70123e-04
20,0.1,9.71429e-01,9.07686e-01
20,0.2,8.85715e-01,6.69020e-01
20,0.3,7.44884e-01,3.95621e-01
20,0.4,5.78199e-01,2.05071e-01
20,0.5,4.34528e-01,1.05644e-01
20,0.6,3.28531e-01,5.72553e-02
20,0.7,2.53454e-01,3.29990e-02
20,0.8,2.00014e-01,2.01333e-02
20,0.9,1.61220e-01,1.29017e-02
20,1.0,1.32405e-01,8.61814e-03
20,1.1,1.10522e-01,5.96259e-03
20,1.2,9.35606e-02,4.25038e-03
20,1.3,8.01742e-02,3.10844e-03
20,1.4,6.94376e-02,2.32419e-03
20,1.5,6.07026e-02,1.77167e-03
20,1.6,5.35053e-02,1.37359e-03
20,1.7,4.75078e-02,1.08105e-03
20,1.8,4.24591e-02,8.62256e-04
20,1.9,3.81704e-02,6.96023e-04
20,2.0,3.44972e-02,5.67925e-04
21,0.1,9.71364e-01,9.07506e-01
21,0.2,8.85455e-01,6.68459e-01
21,0.3,7.44331e-01,3.94900e-01
21,0.4,5.77481e-01,2.04536e-01
21,0.5,4.33843e-01,1.05322e-01
21,0.6,3.27951e-01,5.70685e-02
21,0.7,2.52979e-01,3.28876e-02
21,0.8,1.99626e-01,2.00641e-02
21,0.9,1.60900e-01,1.28568e-02
21,1.0,1.32139e-01,8.58801e-03
21,1.1,1.10297e-01,5.94165e-03
21,1.2,9.33693e-02,4.23542e-03
21,1.3,8.00095e-02,3.09747e-03
21,1.4,6.92944e-02,2.31598e-03
21,1.5,6.05770e-02,1.76541e-03
21,1.6,5.33944e-02,1.36873e-03
21,1.7,4.74091e-02,1.07722e-03
21,1.8,4.23708e-02,8.59202e-04
21,1.9,3.80909e-02,6.93556e-04
21,2.0,3.44253e-02,5.65912e-04
22,0.1,9.71304e-01,9.07341e-01
22,0.2,8.85218e-01,6.67944e-01
22,0.3,7.43827e-01,3.94238e-01
22,0.4,5.76826e-01,2.04044e-01
22,0.5,4.33219e-01,1.05027e-01
22,0.6,3.27421e-01,5.68970e-02
22,0.7,2.52545e-01,3.27853e-02
22,0.8,1.99271e-01,2.00005e-02
22,0.9,1.60609e-01,1.28157e-02
22,1.0,1.31896e-01,8.56033e-03
22,1.1,1.10092e-01,5.92242e-03
22,1.2,9.31948e-02,4.22167e-03
22,1.3,7.98592e-02,3.08740e-03
22,1.4,6.91638e-02,2.30844e-03
22,1.5,6.04625e-02,1.75965e-03
22,1.6,5.32932e-02,1.36426e-03
22,1.7,4.73190e-02,1.07370e-03
22,1.8,4.22902e-02,8.56394e-04
22,1.9,3.80183e-02,6.91289e-04
22,2.0,3.43596e-02,5.64061e-04
23,0.1,9.71250e-01,9.07189e-01
23,0.2,8.85001e-01,6.67470e-01
23,0.3,7.43365e-01,3.93630e-01
23,0.4,5.76227e-01,2.03592e-01
23,0.5,4.32647e-01,1.04756e-01
23,0.6,3.26937e-01,5.67392e-02
23,0.7,2.52148e-01,3.26912e-02
23,0.8,1.98947e-01,1.99420e-02
23,0.9,1.60342e-01,1.27777e-02
23,1.0,1.31674e-01,8.53483e-03
23,1.1,1.09905e-01,5.90470e-03
23,1.2,9.30351e-02,4.20900e-03
23,1.3,7.97216e-02,3.07811e-03
23,1.4,6.90441e-02,2.30148e-03
23,1.5,6.03575e-02,1.75434e-03
23,1.6,5.32005e-02,1.36014e-03
23,1.7,4.72366e-02,1.07046e-03
23,1.8,4.22163e-02,8.53805e-04
23,1.9,3.79519e-02,6.89198e-04
23,2.0,3.42995e-02,5.62355e-04
24,0.1,9.71200e-01,9.07049e-01
24,0.2,8.84801e-01,6.67032e-01
24,0.3,7.42940e-01,3.93068e-01
24,0.4,5.75676e-01,2.03175e-01
24,0.5,4.32122e-01,1.04505e-01
24,0.6,3.26492e-01,5.65935e-02
24,0.7,2.51783e-01,3.26042e-02
24,0.8,1.98649e-01,1.98879e-02
24,0.9,1.60096e-01,1.27427e-02
24,1.0,1.31469e-01,8.51126e-03
24,1.1,1.09733e-01,5.88831e-03
24,1.2,9.28882e-02,4.19728e-03
24,1.3,7.95951e-02,3.06952e-03
24,1.4,6.89341e-02,2.29505e-03
24,1.5,6.02611e-02,1.74943e-03
24,1.6,5.31153e-02,1.35633e-03
24,1.7,4.71607e-02,1.06746e-03
24,1.8,4.21485e-02,8.51411e-04
24,1.9,3.78908e-02,6.87264e-04
24,2.0,3.42442e-02,5.60777e-04
25,0.1,9.71154e-01,9.06919e-01
25,0.2,8.84616e-01,6.66626e-01
25,0.3,7.42548e-01,3.92548e-01
25,0.4,5.75168e-01,2.02789e-01
25,0.5,4.31638e-01,1.04273e-01
25,0.6,3.26081e-01,5.64586e-02
25,0.7,2.51447e-01,3.25237e-02
25,0.8,1.98374e-01,1.98378e-02
25,0.9,1.59870e-01,1.27102e-02
25,1.0,1.31281e-01,8.48941e-03
25,1.1,1.09574e-01,5.87313e-03
25,1.2,9.27528e-02,4.18642e-03
25,1.3,7.94784e-02,3.06156e-03
25,1.4,6.88327e-02,2.28909e-03
25,1.5,6.01721e-02,1.74488e-03
25,1.6,5.30367e-02,1.35280e-03
25,1.7,4.70908e-02,1.06468e-03
25,1.8,4.20859e-02,8.49190e-04
25,1.9,3.78344e-02,6.85471e-04
